RefId,IsBadBuy
73015,0.4206471835082755
73016,0.34468210673365896
73017,0.2868149204374361
73018,0.6518720001409202
73019,0.9180716077221948
73020,0.5015583009154755
73021,0.3083823544758711
73022,0.6051626860161052
73023,0.29793460980235126
73024,0.8908686585052517
73025,0.4129359570854674
73026,0.8915864268218481
73027,0.8562954270530828
73028,0.35523584366139016
73029,0.4336890395753144
73030,0.25996638352070084
73031,0.3818129778378655
73032,0.39484463440539314
73033,0.34201995597235857
73034,0.573258780535449
73035,0.34912906278325695
73036,0.45609002856029296
73037,0.463262997623043
73038,0.44752849372495146
73039,0.5430365158945485
73040,0.19751421720959578
73041,0.8741681576248005
73042,0.3060825505586006
73043,0.31092007206130245
73044,0.5917238473303588
73045,0.4399827500310038
73046,0.263962101718029
73047,0.4353893566584016
73048,0.4797722010044319
73049,0.2571525062446584
73050,0.2050335462266165
73051,0.3141253272003905
73052,0.9339531957093273
73053,0.9124600974820929
73054,0.3120111078625876
73055,0.7410954813695722
73056,0.5169164464238108
73057,0.36072292333487327
73058,0.5534644173245087
73059,0.3213328634278697
73060,0.5743106606902074
73061,0.38201453336139335
73062,0.2897813820031677
73063,0.36032261111530023
73064,0.17054830905658486
73065,0.2802845963973743
73066,0.18911964658178743
73067,0.31236242643432066
73068,0.3962906213304328
73069,0.24191483338930067
73070,0.18998920127543778
73071,0.4631926839932549
73072,0.3928278390246294
73073,0.6371351668037023
73074,0.3293349274673017
73075,0.5827700937669926
73076,0.374344121666091
73077,0.2740585899982701
73078,0.47456026064210394
73079,0.4202619023718158
73080,0.5254838494661414
73081,0.534870991095384
73082,0.26881391151478184
73083,0.31820282374965686
73084,0.3949645116968774
73085,0.276469484520383
73086,0.6164233341489899
73087,0.43164137727190693
73088,0.41492265394987077
73089,0.5354858436994525
73090,0.43255137504163516
73091,0.5184099387503037
73092,0.2631127359771759
73093,0.3560134934153416
73094,0.438469444815206
73095,0.7099897470090638
73096,0.4365568451067416
73097,0.3448037018742797
73098,0.2992266753010768
73099,0.32250748651859773
73100,0.4116881650246481
73101,0.5088337473880261
73102,0.35035491419604775
73103,0.324148492046827
73104,0.8958736337065119
73105,0.6572986592347672
73106,0.35971951166710786
73107,0.7446455897873062
73108,0.34654959838839144
73109,0.5304815703532972
73110,0.4706933409339674
73111,0.3050273074984803
73112,0.6970410879862082
73113,0.47829295908303504
73114,0.5018623885788421
73115,0.28490687937596065
73116,0.32471069660610874
73117,0.525938030310574
73118,0.48792146290475485
73119,0.9035417869179223
73120,0.8918277060840385
73121,0.5132965540226105
73122,0.4590300635270909
73123,0.2644653963799299
73124,0.661652957827701
73125,0.3868622433582525
73126,0.5930827297387412
73127,0.39992279774752537
73128,0.5798305801420547
73129,0.4159491572454548
73130,0.2673805612499261
73131,0.4171975034377191
73132,0.47242997959686495
73133,0.40511231183832147
73134,0.49419302041864743
73135,0.39999969792360174
73136,0.4046975318158169
73137,0.900292384422298
73138,0.5614944525852499
73139,0.5215070426126058
73140,0.8982070809529883
73141,0.45526995520369423
73142,0.5644829328479601
73143,0.6504522922441768
73144,0.24594631415593074
73145,0.4489978011395999
73146,0.5620002187744733
73147,0.47672094822730976
73148,0.31596463751152387
73149,0.4908645312946955
73150,0.400776742234321
73151,0.6503722147302599
73152,0.20130359633968484
73153,0.4372233357944624
73154,0.6895965329719353
73155,0.3212203999513028
